#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,Previous School,clean_name,ImageURL
12,Brynn Smith,Portland Pilots,G,6-0,Fr.,"Eugene, OR",FreeAgent,57.0,19.0,26.5,40.5,3.0,18.33,9.33,1.33,2.33,2.33,0.33,0.67,2.67,0.67,4.33,4.0,7.67,0.0,0.0,4.0,1.33,55.0,28.0,4.0,7.0,7.0,1.0,13.0,12.0,23.0,2.0,8.0,2.0,2.0,0.67,Willamette HS,brynn smith,https://portlandpilots.com/images/2025/10/15/Smith_Brynn26web.JPG?width=80&quality=90
14,Caitlin Monahan,Portland Pilots,G,5-10,R-Fr.,"Mercer Island, WA",FreeAgent,29.0,14.5,56.5,85.5,2.0,16.0,3.5,3.0,1.5,1.0,0.5,0.5,1.5,0.0,1.0,1.5,3.5,2.0,1.0,4.0,2.0,32.0,7.0,6.0,3.0,2.0,1.0,2.0,3.0,7.0,1.0,3.0,0.0,0.0,0.0,Mercer Island HS,caitlin monahan,https://portlandpilots.com/images/2025/10/15/Monahan_Caitlyn26web.JPG?width=80&quality=90
17,Nicole Anderson,Portland Pilots,G,5-8,Gr.,"Eastvale, CA",UserTeam6,11.0,3.67,71.0,113.0,3.0,9.33,3.67,0.33,0.33,0.33,0.0,0.33,2.0,0.67,0.33,1.33,4.0,0.0,0.0,1.0,0.33,28.0,11.0,1.0,1.0,1.0,0.0,1.0,4.0,12.0,1.0,6.0,2.0,2.0,0.67,LMU / SMU / Rosary Academy,nicole anderson,https://portlandpilots.com/images/2025/10/15/Rodriguez_Nicole26web.JPG?width=80&quality=90
20,Lainey Spear,Portland Pilots,F,6-2,Jr.,"Portland, OR",UserTeam3,66.0,22.0,8.0,24.5,3.0,16.33,5.33,4.0,2.67,1.67,0.0,0.0,0.33,0.67,1.33,2.33,3.67,4.0,1.33,8.0,2.67,49.0,16.0,12.0,8.0,5.0,0.0,4.0,7.0,11.0,0.0,1.0,2.0,4.0,1.33,Beaverton HS,lainey spear,https://portlandpilots.com/images/2025/10/15/Spear_Lainey26web.JPG?width=80&quality=90
22,Rhyan Mogel,Portland Pilots,G,5-10,Jr.,"Happy Valley, OR",FreeAgent,89.0,29.67,8.0,13.0,3.0,17.33,11.67,1.33,3.0,1.33,0.33,1.0,1.33,2.67,1.33,4.0,5.33,2.0,0.67,2.0,0.67,52.0,35.0,4.0,9.0,4.0,1.0,4.0,12.0,16.0,3.0,4.0,8.0,8.0,2.67,Clackamas HS,rhyan mogel,https://portlandpilots.com/images/2025/10/15/Mogel_Rhyan26web.JPG?width=80&quality=90
35,Camille Dake,Portland Pilots,G,6-0,Fr.,"Vista, CA",UserTeam2,0.0,0.0,87.5,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rancho Buena Vista HS,camille dake,https://portlandpilots.com/images/2025/10/15/Dake_Camille26web.jpg?width=80&quality=90
42,Ella Zimmerman,Portland Pilots,F/C,6-4,So.,"Redondo Beach, CA",FreeAgent,40.0,13.33,1.0,66.0,3.0,12.33,4.0,3.67,0.33,0.0,1.33,0.0,0.0,0.0,0.33,2.0,3.33,3.0,1.0,8.0,2.67,37.0,12.0,11.0,1.0,0.0,4.0,1.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,Redondo Union HS,ella zimmerman,https://portlandpilots.com/images/2025/10/15/Zimmerman_Ella26web.JPG?width=80&quality=90
44,Julia Dalan,Portland Pilots,C/F,6-3,Fr.,"Centralia, WA",UserTeam5,48.0,16.0,1.0,56.5,3.0,15.33,7.67,2.33,1.0,0.0,2.0,0.0,0.33,1.67,1.67,3.0,5.67,4.0,1.33,3.0,1.0,46.0,23.0,7.0,3.0,0.0,6.0,5.0,9.0,17.0,0.0,1.0,5.0,6.0,2.0,W.F. West HS,julia dalan,https://portlandpilots.com/images/2025/10/15/Dalan_Julia26web.JPG?width=80&quality=90
0,Ysabella Von Seipler,San Diego Toreros,G,5-10,Fr.,"Rocklin, CA",FreeAgent,36.0,18.0,48.0,72.5,2.0,14.0,7.5,4.0,1.5,0.5,0.0,1.5,3.0,0.0,0.0,3.0,6.5,3.0,1.5,5.0,2.5,28.0,15.0,8.0,3.0,1.0,0.0,0.0,6.0,13.0,3.0,6.0,0.0,0.0,0.0,,ysabella von seipler,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=300
1,Dresha Moore,San Diego Toreros,F,6-0,So.,"Hawthorne, CA",FreeAgent,24.0,6.0,24.0,94.0,4.0,16.75,4.0,2.5,0.25,0.5,0.0,0.25,0.5,0.25,1.0,1.75,4.5,4.0,1.0,6.0,1.5,67.0,16.0,10.0,1.0,2.0,0.0,4.0,7.0,18.0,1.0,2.0,1.0,3.0,0.75,,dresha moore,https://usdtoreros.com/images/2025/10/15/Dresha_Moore_Headshot.png?width=80&quality=90
