Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,PTS,FantasyPts,isWCC
Mel Daley,#21,Virginia Tech Hokies,Oregon State Beavers,1,11/29/25,30,2,0,2,3,2,1,2,3,10,12,0,0,4,4,24,51,False
Carleigh Wenzel,#1,Virginia Tech Hokies,Oregon State Beavers,1,11/29/25,35,0,3,3,6,2,0,6,2,4,12,2,6,3,4,13,24,False
Aniya Trent,#30,Virginia Tech Hokies,Oregon State Beavers,1,11/29/25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,False
Amani Jenkins,#24,Virginia Tech Hokies,Oregon State Beavers,1,11/29/25,11,1,2,3,1,1,1,1,2,0,0,0,0,0,0,0,12,False
Kayl Petersen,#34,Virginia Tech Hokies,Oregon State Beavers,1,11/29/25,7,1,1,2,0,0,0,1,3,0,2,0,0,0,0,0,-1,False
Leila Wells,#2,Virginia Tech Hokies,Oregon State Beavers,1,11/29/25,14,0,1,1,0,0,0,1,0,2,6,0,2,2,2,6,2,False
Sophie Swanson,#31,Virginia Tech Hokies,Oregon State Beavers,1,11/29/25,9,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,False
Nene Sow,#32,Oregon State Beavers,Virginia Tech Hokies,0,11/29/25,6,1,0,1,0,0,0,1,1,1,3,0,0,0,0,2,0,True
Ally Schimel,#4,Oregon State Beavers,Virginia Tech Hokies,0,11/29/25,36,0,3,3,0,1,1,0,1,2,4,1,3,0,0,5,14,True
Jenna Villa,#3,Oregon State Beavers,Virginia Tech Hokies,0,11/29/25,33,3,4,7,0,2,0,3,4,6,18,3,7,4,4,19,21,True
Kennedie Shuler,#1,Oregon State Beavers,Virginia Tech Hokies,0,11/29/25,36,1,4,5,5,1,0,3,2,7,15,0,0,1,2,15,31,True
Tiara Bolden,#0,Oregon State Beavers,Virginia Tech Hokies,0,11/29/25,19,0,2,2,1,1,0,4,3,2,5,0,0,2,2,6,6,True
Lara Alonso-Basurto,#22,Oregon State Beavers,Virginia Tech Hokies,0,11/29/25,23,3,2,5,0,0,3,1,2,2,6,0,0,4,5,8,17,True
Lizzy Williamson,#15,Oregon State Beavers,Virginia Tech Hokies,0,11/29/25,19,4,1,5,1,1,0,1,1,2,8,0,0,2,2,6,12,True
Katelyn Field,#2,Oregon State Beavers,Virginia Tech Hokies,0,11/29/25,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,True
Cloe Vecina,#31,Oregon State Beavers,Virginia Tech Hokies,0,11/29/25,26,0,3,3,0,3,0,1,1,2,6,1,2,1,2,6,16,True
Ava Schmidt,#13,Santa Clara Broncos,Vermont Catamounts,0,11/29/25,20,2,2,4,0,0,0,1,0,3,12,0,6,2,4,8,-4,True
Kylee Fox,#30,Santa Clara Broncos,Vermont Catamounts,0,11/29/25,32,4,4,8,1,0,1,1,1,1,7,1,4,0,2,3,6,True
Sophie Glancey,#12,Santa Clara Broncos,Vermont Catamounts,0,11/29/25,26,2,3,5,2,0,1,1,3,1,8,0,1,0,0,2,7,True
Ashley Hawkins,#23,Santa Clara Broncos,Vermont Catamounts,0,11/29/25,34,0,4,4,4,1,0,4,0,3,12,0,5,6,6,12,13,True
Maia Jones,#9,Santa Clara Broncos,Vermont Catamounts,0,11/29/25,26,2,2,4,1,0,0,4,3,6,14,3,5,0,0,15,13,True
Tyler Gildersleeve-Stiles,#34,Santa Clara Broncos,Vermont Catamounts,0,11/29/25,13,1,4,5,0,0,0,0,0,0,4,0,0,0,0,0,1,True
Delainey Miller,#20,Santa Clara Broncos,Vermont Catamounts,0,11/29/25,15,1,2,3,0,0,0,1,2,1,1,0,0,0,3,2,1,True
Kate Schat,#3,Santa Clara Broncos,Vermont Catamounts,0,11/29/25,6,0,1,1,0,0,0,0,1,1,3,0,2,0,0,2,0,True
Aniya Hooker,#2,Santa Clara Broncos,Vermont Catamounts,0,11/29/25,28,3,3,6,1,0,0,0,5,3,5,1,2,0,0,7,17,True
