#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,efg%,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,didWin_sum,Previous School,clean_name,ImageURL
22,McKynnlie Dalan,Gonzaga Bulldogs,F,6-0,Jr.,"Montesano, WA",FreeAgent,96.0,6.4,28.5,100.5,15.0,11.27,2.07,0.352,2.27,0.4,0.47,0.13,0.07,0.2,0.8,0.87,0.6,1.8,13.0,0.87,21.0,1.4,169.0,31.0,34.0,6.0,7.0,2.0,13.0,9.0,27.0,1.0,3.0,12.0,13.0,0.87,9.0,Minnesota,mckynnlie dalan,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/mckynnlie_dalan.JPG?width=80&quality=90
23,Jaiden Haile,Gonzaga Bulldogs,F,6-2,Fr.,"Fargo, ND",FreeAgent,296.0,17.41,13.0,38.0,17.0,17.12,6.12,0.537,5.71,1.41,0.12,0.29,0.0,0.06,0.94,1.06,2.59,4.82,51.0,3.0,46.0,2.71,291.0,104.0,97.0,24.0,2.0,5.0,18.0,44.0,82.0,0.0,1.0,16.0,40.0,2.35,11.0,West Fargo Horace HS,jaiden haile,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/jaiden_haile.JPG?width=80&quality=90
24,Teryn Gardner,Gonzaga Bulldogs,G,5-10,So.,"Spokane, WA",UserTeam4,248.0,14.59,34.0,52.0,17.0,19.35,5.65,0.645,3.24,0.71,0.71,0.0,1.47,3.0,0.41,0.76,1.88,4.06,20.0,1.18,35.0,2.06,329.0,96.0,55.0,12.0,12.0,0.0,13.0,32.0,69.0,25.0,51.0,7.0,8.0,0.47,11.0,Boise State,teryn gardner,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/teryn_gardner-7278.JPG?width=80&quality=90
33,Lauren Whittaker,Gonzaga Bulldogs,F,6-3,R-Fr.,"Canterbury, New Zealand",UserTeam2,730.0,42.94,1.0,1.0,17.0,26.71,19.47,0.61,9.94,1.12,1.24,0.53,1.12,3.12,4.12,2.59,7.12,12.59,33.0,1.94,136.0,8.0,454.0,331.0,169.0,19.0,21.0,9.0,44.0,121.0,214.0,19.0,53.0,70.0,85.0,5.0,11.0,,lauren whittaker,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/lauren_whittaker-1119.JPG?width=80&quality=90
55,Zeryhia Aokuso,Gonzaga Bulldogs,G,5-10,Jr.,"Amarillo, TX",UserTeam1,270.0,15.88,29.0,46.0,17.0,23.0,8.65,0.448,2.82,2.06,0.59,0.0,0.47,1.47,1.12,2.59,3.53,8.41,9.0,0.53,39.0,2.29,391.0,147.0,48.0,35.0,10.0,0.0,44.0,60.0,143.0,8.0,25.0,19.0,26.0,1.53,11.0,Saint Mary's,zeryhia aokuso,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/zerhyia_aokuso-7494.JPG?width=80&quality=90
0,Jess Lawson,Loyola Marymount Lions,G,5-7,Gr.,"Las Vegas, NV",UserTeam4,549.0,36.6,2.0,4.0,15.0,27.67,15.93,0.445,7.93,1.87,1.53,0.07,0.2,1.13,5.73,1.27,5.0,11.47,48.0,3.2,71.0,4.73,415.0,239.0,119.0,28.0,23.0,1.0,19.0,75.0,172.0,3.0,17.0,86.0,111.0,7.4,8.0,Central Michigan,jess lawson,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Jess_Lawson.jpg?width=80&quality=90
2,Mari Somvichian,Loyola Marymount Lions,G,5-4,Jr.,"Oakland, CA",FreeAgent,14.0,1.4,85.0,139.0,10.0,7.7,0.8,0.25,0.3,0.2,0.3,0.0,0.2,0.9,0.2,0.4,0.2,1.2,2.0,0.2,1.0,0.1,77.0,8.0,3.0,2.0,3.0,0.0,4.0,2.0,12.0,2.0,9.0,2.0,2.0,0.2,5.0,,mari somvichian,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Mari_Somvichian.jpg?width=80&quality=90
4,Allison Clarke,Loyola Marymount Lions,G,5-11,So.,"Anaheim, CA",FreeAgent,64.0,8.0,69.0,113.0,8.0,22.88,4.88,0.291,0.62,1.62,1.25,0.0,0.88,4.75,1.75,1.25,1.12,5.38,0.0,0.0,5.0,0.62,183.0,39.0,5.0,13.0,10.0,0.0,10.0,9.0,43.0,7.0,38.0,14.0,18.0,2.25,4.0,,allison clarke,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Allison_Clarke.jpg?width=80&quality=90
5,Carly Heidger,Loyola Marymount Lions,G,6-3,Sr.,"Dacula, GA",UserTeam6,241.0,16.07,36.0,55.5,15.0,28.73,7.27,0.411,3.6,1.0,1.2,0.0,0.73,3.13,1.73,0.87,2.4,6.73,23.0,1.53,31.0,2.07,431.0,109.0,54.0,15.0,18.0,0.0,13.0,36.0,101.0,11.0,47.0,26.0,31.0,2.07,8.0,Samford,carly heidger,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Carly_Heidger.jpg?width=80&quality=90
7,Ana Milanovic,Loyola Marymount Lions,F,6-2,So.,"Belgrade, Serbia",FreeAgent,26.0,6.5,40.0,133.0,4.0,8.0,2.5,0.429,1.0,0.75,0.5,0.0,0.0,0.5,1.0,0.75,0.75,1.75,1.0,0.25,3.0,0.75,32.0,10.0,4.0,3.0,2.0,0.0,3.0,3.0,7.0,0.0,2.0,4.0,5.0,1.25,3.0,Middle Tennessee,ana milanovic,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Ana_Milanovic.jpg?width=80&quality=90
10,Lova Lagerlid,Loyola Marymount Lions,G,6-1,So.,"Stockholm, Sweden",FreeAgent,1.0,0.33,88.5,145.5,3.0,7.33,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,1.0,2.0,0.67,4.0,1.33,22.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.67,2.0,Colorado,lova lagerlid,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Lova_Lagerlid.jpg?width=80&quality=90
13,Ivana Krajina,Loyola Marymount Lions,G,5-11,Sr.,"Kastel Novi, Croatia",UserTeam5,194.0,12.93,44.0,69.0,15.0,27.67,5.67,0.462,1.8,2.2,1.27,0.07,0.87,2.53,0.8,2.73,2.0,5.27,5.0,0.33,22.0,1.47,415.0,85.0,27.0,33.0,19.0,1.0,41.0,30.0,79.0,13.0,38.0,12.0,17.0,1.13,8.0,Texas Tech,ivana krajina,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Ivana_Krajina.jpg?width=80&quality=90
22,Alia Matavao,Loyola Marymount Lions,F,6-0,Jr.,"Las Vegas, NV",FreeAgent,0.0,0.0,49.0,153.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BYU,alia matavao,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Ali_a_Matavao.jpg?width=80&quality=90
24,Kayla Jones,Loyola Marymount Lions,F,6-0,Jr.,"Norman, OK",FreeAgent,150.0,10.0,22.0,85.0,15.0,11.67,3.8,0.53,1.87,0.87,0.33,0.07,0.07,0.27,0.27,0.67,1.73,3.33,16.0,1.07,12.0,0.8,175.0,57.0,28.0,13.0,5.0,1.0,10.0,26.0,50.0,1.0,4.0,4.0,10.0,0.67,8.0,Grayson College,kayla jones,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Kayla_Jones.jpg?width=80&quality=90
