Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Kyra Webb,#6,Hawai'i Rainbow Wahine,Loyola Marymount Lions,1,11/21/25,18,1,3,4,0,1,0,0,2,4,6,0,1,0,1,0.667,8,20.0,False,0.0
Kira-May Filemu,#1,Hawai'i Rainbow Wahine,Loyola Marymount Lions,1,11/21/25,13,0,0,0,0,0,0,1,1,2,5,1,3,0,0,0.5,5,4.0,False,0.0
Jade Peacock,#22,Hawai'i Rainbow Wahine,Loyola Marymount Lions,1,11/21/25,6,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,0,2.0,False,0.0
Izzy Forsyth,#20,Hawai'i Rainbow Wahine,Loyola Marymount Lions,1,11/21/25,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,2.0,False,0.0
Piper Carlson,#14,Idaho State Bengals,Loyola Marymount Lions,0,11/23/25,28,3,3,6,2,0,0,2,4,2,7,0,0,2,8,0.286,6,7.0,False,0.0
Alyse Aby,#4,Idaho State Bengals,Loyola Marymount Lions,0,11/23/25,24,1,1,2,0,0,0,4,4,3,5,0,1,0,0,0.6,6,1.0,False,0.0
Tasia Jordan,#5,Idaho State Bengals,Loyola Marymount Lions,0,11/23/25,19,1,5,6,0,0,0,5,2,3,6,0,0,1,2,0.5,7,3.0,False,0.0
Kacey Spink,#1,Idaho State Bengals,Loyola Marymount Lions,0,11/23/25,36,2,4,6,0,2,1,5,4,4,8,0,0,0,0,0.5,8,16.0,False,0.0
Sophia Covello,#22,Idaho State Bengals,Loyola Marymount Lions,0,11/23/25,33,0,3,3,0,1,0,1,3,2,10,0,3,0,0,0.2,4,1.0,False,0.0
Asa Wolfram,#13,Idaho State Bengals,Loyola Marymount Lions,0,11/23/25,12,0,2,2,1,0,0,0,0,3,4,0,0,0,0,0.75,6,16.0,False,0.0
Halle Wright,#24,Idaho State Bengals,Loyola Marymount Lions,0,11/23/25,16,0,0,0,1,1,0,0,2,1,3,0,2,2,2,0.333,4,10.0,False,0.0
Maeva Gauffrenet,#18,Idaho State Bengals,Loyola Marymount Lions,0,11/23/25,19,0,0,0,1,1,0,2,1,2,4,1,1,0,0,0.625,5,10.0,False,0.0
Aspen Caldwell,#2,Idaho State Bengals,Loyola Marymount Lions,0,11/23/25,13,1,2,3,0,0,0,1,3,2,3,0,0,2,2,0.667,6,10.0,False,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,33,4,1,5,1,3,0,3,4,7,13,0,1,3,4,0.538,17,36.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,35,0,1,1,3,0,0,3,2,1,9,1,7,2,5,0.167,5,-4.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,31,1,8,9,3,3,0,1,2,7,13,1,3,8,12,0.577,23,58.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,38,0,4,4,1,1,0,2,2,3,12,1,5,3,3,0.292,10,12.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,35,1,4,5,1,3,0,3,2,2,5,1,3,9,9,0.5,14,31.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,7,1,0,1,0,1,0,0,2,1,1,0,0,0,0,1.0,2,10.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,10,0,0,0,1,0,0,1,3,0,0,0,0,0,0,,0,2.0,True,0.0
Lova Lagerlid,#10,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1.0,True,0.0
