Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Quinn Garrett,#2,Stanislaus State Warriors,Santa Clara Broncos,0,11/03/25,26,0,1,1,3,0,0,3,1,1,5,1,3,1,2,0.3,4,4,False,0
Cameron Gibson,#31,Stanislaus State Warriors,Santa Clara Broncos,0,11/03/25,24,3,6,9,1,0,3,3,3,2,5,0,0,0,0,0.4,4,20,False,0
Karissa Hukill,#25,Stanislaus State Warriors,Santa Clara Broncos,0,11/03/25,26,0,4,4,0,1,0,1,3,2,11,0,1,0,0,0.182,4,3,False,0
Lexi Derf,#5,Stanislaus State Warriors,Santa Clara Broncos,0,11/03/25,8,0,1,1,0,0,0,1,0,0,2,0,2,0,0,0.0,0,-6,False,0
Aaliyah Dias,#30,Stanislaus State Warriors,Santa Clara Broncos,0,11/03/25,21,1,1,2,0,0,0,0,4,5,10,1,4,3,3,0.55,14,21,False,0
Kalyn Harris,#4,Stanislaus State Warriors,Santa Clara Broncos,0,11/03/25,13,0,0,0,1,0,0,2,0,0,4,0,1,0,0,0.0,0,-7,False,0
Kylee Fox,#30,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,23,2,5,7,4,2,0,0,0,7,12,4,5,0,0,0.75,18,59,True,0
Sophie Glancey,#12,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,10,3,2,5,1,0,2,0,0,5,7,0,1,1,4,0.714,11,32,True,0
Aniya Hooker,#2,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,23,0,2,2,5,1,1,0,2,1,4,0,2,2,2,0.25,4,27,True,0
Ashley Hawkins,#23,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,22,1,7,8,6,2,0,1,2,5,11,4,9,2,2,0.636,16,54,True,0
